Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
08/09/2022,94,0,94,19,2,0,2,5,0,5,2,0,2,2,0,2,0.1170212766,0,0.1170212766
08/10/2022,30,0,30,14,2,0,2,2,0,2,0,0,0,0,0,0,0.1333333333,0,0.1333333333
08/11/2022,31,0,31,12,2,0,2,3,0,3,0,0,0,0,0,0,0.1612903226,0,0.1612903226
08/12/2022,41,0,41,15,1,0,1,0,0,0,0,0,0,0,0,0,0.0243902439,0,0.0243902439
08/13/2022,30,0,30,12,5,0,5,2,0,2,0,0,0,0,0,0,0.2333333333,0,0.2333333333
08/14/2022,69,0,69,26,4,0,4,3,0,3,0,0,0,0,0,0,0.1014492754,0,0.1014492754
08/15/2022,135,0,135,24,11,0,11,2,0,2,0,0,0,0,0,0,0.0962962963,0,0.0962962963
08/16/2022,59,0,59,23,3,0,3,3,0,3,0,0,0,0,0,0,0.1016949153,0,0.1016949153
08/17/2022,104,0,104,26,6,0,6,6,0,6,0,0,0,3,0,3,0.1442307692,0,0.1442307692
08/18/2022,99,0,99,20,5,0,5,6,0,6,0,0,0,0,0,0,0.1111111111,0,0.1111111111
08/19/2022,60,0,60,21,1,0,1,2,0,2,0,0,0,0,0,0,0.05,0,0.05
08/20/2022,46,0,46,16,8,0,8,4,0,4,0,0,0,0,0,0,0.2608695652,0,0.2608695652
08/21/2022,83,0,83,19,11,0,11,7,0,7,0,0,0,1,0,1,0.2289156627,0,0.2289156627
08/22/2022,55,0,55,20,5,0,5,6,0,6,0,0,0,1,0,1,0.2181818182,0,0.2181818182
08/23/2022,120,0,120,17,12,0,12,2,0,2,0,0,0,0,0,0,0.1166666667,0,0.1166666667
08/24/2022,41,0,41,18,5,0,5,7,0,7,0,0,0,0,0,0,0.2926829268,0,0.2926829268
08/25/2022,54,0,54,23,4,0,4,6,0,6,0,0,0,2,0,2,0.2222222222,0,0.2222222222
08/26/2022,28,0,28,16,1,0,1,6,0,6,0,0,0,0,0,0,0.25,0,0.25
08/27/2022,12,0,12,9,0,0,0,2,0,2,0,0,0,0,0,0,0.1666666667,0,0.1666666667
08/28/2022,38,0,38,16,4,0,4,5,0,5,0,0,0,0,0,0,0.2368421053,0,0.2368421053
08/29/2022,76,0,76,22,4,0,4,4,0,4,0,0,0,0,0,0,0.1052631579,0,0.1052631579
08/30/2022,40,0,40,17,3,0,3,3,0,3,0,0,0,0,0,0,0.15,0,0.15
08/31/2022,93,0,93,25,2,0,2,6,0,6,0,0,0,1,0,1,0.09677419355,0,0.09677419355
09/01/2022,12,0,12,6,1,0,1,4,0,4,0,0,0,2,0,2,0.5833333333,0,0.5833333333
09/02/2022,42,0,42,12,1,0,1,5,0,5,0,0,0,1,0,1,0.1666666667,0,0.1666666667
09/03/2022,80,0,80,18,8,0,8,6,0,6,0,0,0,0,0,0,0.175,0,0.175
09/04/2022,84,0,84,29,8,0,8,4,0,4,0,0,0,2,0,2,0.1666666667,0,0.1666666667
09/05/2022,176,0,176,56,8,0,8,7,0,7,0,0,0,1,0,1,0.09090909091,0,0.09090909091
09/06/2022,77,0,77,19,4,0,4,2,0,2,0,0,0,1,0,1,0.09090909091,0,0.09090909091
09/07/2022,52,0,52,15,2,0,2,3,0,3,0,0,0,0,0,0,0.09615384615,0,0.09615384615
09/08/2022,37,0,37,12,0,0,0,3,0,3,0,0,0,1,0,1,0.1081081081,0,0.1081081081
09/09/2022,60,0,60,15,4,0,4,2,0,2,0,0,0,0,0,0,0.1,0,0.1
